B-lactamasas,Desplazamientos,BPN,AMP,OXA,TIC,PIP,CFT,CFX,CFP,IMI,MER
OXA-46,1.3224721,,0.05,0.044761904761905,,,0.714285714285714,,,,
OXA-48,1.5803467,0.073493975903615,0.060833333333333,0.040476190476191,0.227777777777778,0.257142857142857,0.306122448979592,1,0.4,0.58,0.5
OXA-54,7.63422394,0.024096385542169,0.020833333333333,0.023809523809524,0.034722222222222,0.121428571428571,0.030612244897959,0.166666666666667,0.333333333333333,1,1
OXA-85,2.16641927,1,95,1,0.011111111111111,,0.177551020408163,,,,
OXA-163,1.64234352,0.004578313253012,0.013333333333333,,0.000833333333333,0.157142857142857,0.081632653061225,0.583333333333333,0.4,0.0002,0.03
OXA-181 ,1.31337762,0.04289156626506,0.25,0.041666666666667,0.180555555555556,0.5,0.051020408163265,0.916666666666667,1,0.4,1
OXA-232 ,1.2798388,0.102409638554217,0.366666666666667,0.114285714285714,1,1,0.102040816326531,0.5,0.666666666666667,0.12,1
